split,index,image_id
train,0,00000901_002
train,1,00018227_001
train,2,00027736_005
train,3,00018904_002
train,4,00005233_000
train,5,00030079_056
train,6,00010384_007
train,7,00012021_030
train,8,00029705_001
train,9,00008998_000
train,10,00015476_000
train,11,00012047_001
train,12,00019658_013
train,13,00005434_004
train,14,00001722_002
train,15,00002152_000
train,16,00002917_000
train,17,00003805_001
train,18,00004931_020
train,19,00017772_000
train,20,00014022_021
train,21,00010430_000
train,22,00011607_000
train,23,00012511_003
train,24,00002239_003
train,25,00010767_007
train,26,00018903_003
train,27,00014388_000
train,28,00019181_002
train,29,00020728_000
train,30,00008727_013
train,31,00020900_000
train,32,00028765_030
train,33,00014827_005
train,34,00028103_000
train,35,00013178_004
train,36,00004050_000
train,37,00026532_000
train,38,00006952_011
train,39,00002345_012
train,40,00015835_000
train,41,00025664_034
train,42,00007557_001
train,43,00006713_005
train,44,00027282_003
train,45,00021404_001
train,46,00003981_011
train,47,00010768_001
train,48,00029817_020
train,49,00008462_002
train,50,00016737_001
train,51,00018615_026
train,52,00017151_008
train,53,00016609_000
train,54,00019143_010
train,55,00015561_009
train,56,00026412_062
train,57,00028208_038
train,58,00006447_008
train,59,00004007_021
train,60,00002988_003
train,61,00006551_003
train,62,00028980_000
train,63,00014253_028
train,64,00011291_002
train,65,00008656_000
train,66,00006634_003
train,67,00000854_000
train,68,00005765_000
train,69,00011619_002
train,70,00017751_008
train,71,00019880_005
train,72,00028911_002
train,73,00017151_017
train,74,00004858_030
train,75,00003604_000
train,76,00014509_001
train,77,00007846_002
train,78,00009669_004
train,79,00003680_000
train,80,00019006_004
train,81,00019023_000
train,82,00014004_032
train,83,00028506_000
train,84,00003426_037
train,85,00001122_013
train,86,00030209_003
train,87,00001787_006
train,88,00022457_007
train,89,00025393_003
train,90,00014294_006
train,91,00008817_000
train,92,00020326_007
train,93,00001107_004
train,94,00015876_000
train,95,00026132_025
train,96,00013305_004
train,97,00018312_004
train,98,00005053_001
train,99,00016036_000
train,100,00002365_002
train,101,00003446_007
train,102,00016233_007
train,103,00004612_001
train,104,00025122_001
train,105,00016429_009
train,106,00030609_015
train,107,00023158_004
train,108,00016291_006
train,109,00005286_001
train,110,00006045_000
train,111,00022255_002
train,112,00011294_000
train,113,00018434_000
train,114,00029596_005
train,115,00009847_000
train,116,00003300_006
train,117,00001777_000
train,118,00013922_012
train,119,00014472_012
train,120,00030522_002
train,121,00015530_127
train,122,00003400_001
train,123,00012924_000
train,124,00013077_000
train,125,00005000_000
train,126,00026738_007
train,127,00018977_000
train,128,00005472_002
train,129,00015187_001
train,130,00017504_013
train,131,00030077_000
train,132,00003100_004
train,133,00028285_011
train,134,00005026_011
train,135,00013262_001
train,136,00026734_002
train,137,00017249_003
train,138,00011924_000
train,139,00021120_005
